0;74
1;74
2;75
3;75
4;75
5;75
6;75
7;75
8;75
9;75
10;74
11;75
12;74
13;74
14;75
15;74
16;75
17;75
18;75
19;74
20;74
21;75
22;76
23;74
24;75
25;74
26;75
27;75
28;74
29;75
30;74
31;75
32;75
33;75
34;75
35;74
36;75
37;75
38;76
39;74
40;74
41;75
42;75
43;75
44;74
45;74
46;74
47;75
48;75
49;75
50;74
51;75
52;74
53;75
54;75
55;74
56;75
57;74
58;74
59;74
60;74
61;74
62;74
63;75
64;75
65;74
66;74
67;75
68;75
69;75
70;74
71;75
72;75
73;75
74;75
75;75
76;75
77;75
78;76
79;75
80;74
81;75
82;75
83;75
84;74
85;74
86;75
87;75
88;75
89;75
90;74
91;74
92;74
93;75
94;75
95;74
96;75
97;74
98;75
99;74

