0;104
1;105
2;140
3;104
4;140
5;104
6;171
7;105
8;170
9;105
10;163
11;105
12;104
13;105
14;104
15;105
16;104
17;138
18;105
19;104
20;105
21;105
22;104
23;104
24;105
25;104
26;105
27;105
28;105
29;104
30;105
31;133
32;104
33;105
34;105
35;105
36;104
37;105
38;105
39;105
40;105
41;105
42;104
43;105
44;112
45;105
46;104
47;105
48;105
49;104
50;105
51;104
52;105
53;105
54;105
55;105
56;104
57;105
58;104
59;105
60;104
61;104
62;105
63;105
64;105
65;105
66;105
67;105
68;104
69;105
70;105
71;104
72;105
73;104
74;105
75;105
76;105
77;105
78;105
79;105
80;105
81;105
82;104
83;104
84;105
85;105
86;105
87;105
88;105
89;105
90;105
91;104
92;104
93;105
94;105
95;104
96;105
97;105
98;105
99;105
