0;52
1;54
2;53
3;54
4;54
5;53
6;54
7;53
8;54
9;54
10;53
11;53
12;54
13;54
14;54
15;53
16;53
17;53
18;54
19;53
20;54
21;53
22;53
23;54
24;53
25;53
26;54
27;53
28;54
29;53
30;53
31;54
32;54
33;53
34;53
35;53
36;54
37;54
38;54
39;54
40;54
41;54
42;54
43;54
44;53
45;54
46;53
47;53
48;53
49;54
50;53
51;53
52;54
53;53
54;54
55;54
56;53
57;54
58;53
59;53
60;53
61;53
62;54
63;53
64;53
65;54
66;54
67;53
68;53
69;53
70;53
71;54
72;53
73;53
74;53
75;54
76;54
77;54
78;54
79;53
80;53
81;53
82;53
83;54
84;53
85;53
86;54
87;53
88;54
89;54
90;54
91;54
92;54
93;53
94;53
95;53
96;54
97;53
98;53
99;54

