0;83
1;89
2;90
3;89
4;90
5;90
6;89
7;90
8;89
9;90
10;89
11;90
12;90
13;89
14;90
15;90
16;84
17;90
18;84
19;90
20;90
21;90
22;90
23;89
24;89
25;90
26;90
27;89
28;90
29;90
30;85
31;85
32;90
33;90
34;85
35;89
36;84
37;90
38;90
39;84
40;84
41;90
42;84
43;89
44;84
45;90
46;84
47;91
48;90
49;90
50;90
51;90
52;90
53;89
54;89
55;91
56;90
57;85
58;89
59;90
60;90
61;90
62;89
63;85
64;90
65;84
66;90
67;90
68;90
69;90
70;90
71;89
72;84
73;89
74;84
75;90
76;90
77;90
78;89
79;90
80;85
81;90
82;90
83;90
84;90
85;90
86;90
87;90
88;89
89;90
90;90
91;90
92;90
93;90
94;89
95;90
96;90
97;84
98;89
99;90
