163;160;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;168;165;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;159;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;156;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;158;165;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;160;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;162;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
 163;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;158;167;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;159;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;162;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;164;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
 163;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;167;162;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;165;166;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;158;168;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;172;153;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;165;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
 163;160;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;160;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;171;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;160;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;160;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;160;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
 162;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;165;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;158;166;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;162;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;166;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;164;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
 163;160;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;160;164;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;166;165;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;158;165;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;165;168;166;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
 163;160;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;160;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;165;166;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;158;167;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;159;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;165;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---; 
 163;160;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;165;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;153;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;167;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;171;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;165;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
 158;169;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;160;167;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;166;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
 158;166;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;160;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;163;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;158;166;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;163;166;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;160;161;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
